#    L    TT             EE             TE          
     2    0.10378E+04    0.49861E-01    0.32201E+01
     3    0.97675E+03    0.82217E-01    0.40615E+01
     4    0.91660E+03    0.94641E-01    0.42652E+01
     5    0.86985E+03    0.86903E-01    0.40524E+01
     6    0.83604E+03    0.66531E-01    0.35685E+01
     7    0.81268E+03    0.44015E-01    0.29099E+01
     8    0.79696E+03    0.27367E-01    0.22050E+01
     9    0.78721E+03    0.18727E-01    0.15828E+01
    10    0.78226E+03    0.15403E-01    0.11155E+01
    11    0.78093E+03    0.13334E-01    0.82229E+00
    12    0.78323E+03    0.11980E-01    0.69254E+00
    13    0.78733E+03    0.12272E-01    0.69802E+00
    14    0.79253E+03    0.13914E-01    0.80127E+00
    15    0.79914E+03    0.16656E-01    0.96170E+00
    16    0.80749E+03    0.20351E-01    0.11425E+01
    17    0.81734E+03    0.24802E-01    0.13213E+01
    18    0.82765E+03    0.29564E-01    0.14828E+01
    19    0.83955E+03    0.34078E-01    0.16200E+01
    20    0.85162E+03    0.37875E-01    0.17262E+01
    21    0.86402E+03    0.40740E-01    0.18017E+01
    22    0.87683E+03    0.42887E-01    0.18497E+01
    23    0.88984E+03    0.44638E-01    0.18763E+01
    24    0.90315E+03    0.46255E-01    0.18878E+01
    25    0.91676E+03    0.47913E-01    0.18896E+01
    26    0.93054E+03    0.49714E-01    0.18877E+01
    27    0.94466E+03    0.51745E-01    0.18831E+01
    28    0.95891E+03    0.54126E-01    0.18767E+01
    29    0.97345E+03    0.57000E-01    0.18688E+01
    30    0.98830E+03    0.60529E-01    0.18582E+01
    31    0.10032E+04    0.64812E-01    0.18433E+01
    32    0.10184E+04    0.69714E-01    0.18218E+01
    33    0.10339E+04    0.75036E-01    0.17910E+01
    34    0.10497E+04    0.80589E-01    0.17493E+01
    35    0.10657E+04    0.86209E-01    0.16975E+01
    36    0.10818E+04    0.91749E-01    0.16362E+01
    37    0.10980E+04    0.97081E-01    0.15670E+01
    38    0.11145E+04    0.10208E+00    0.14935E+01
    39    0.11314E+04    0.10658E+00    0.14170E+01
    40    0.11483E+04    0.11039E+00    0.13383E+01
    41    0.11654E+04    0.11341E+00    0.12575E+01
    42    0.11825E+04    0.11579E+00    0.11744E+01
    43    0.11998E+04    0.11774E+00    0.10885E+01
    44    0.12170E+04    0.11945E+00    0.99993E+00
    45    0.12347E+04    0.12114E+00    0.90929E+00
    46    0.12526E+04    0.12300E+00    0.81460E+00
    47    0.12706E+04    0.12522E+00    0.71429E+00
    48    0.12887E+04    0.12796E+00    0.60951E+00
    49    0.13069E+04    0.13138E+00    0.50087E+00
    50    0.13255E+04    0.13563E+00    0.38215E+00
    51    0.13442E+04    0.14080E+00    0.24664E+00
    52    0.13633E+04    0.14697E+00    0.91185E-01
    53    0.13824E+04    0.15421E+00   -0.84629E-01
    54    0.14014E+04    0.16246E+00   -0.27325E+00
    55    0.14205E+04    0.17163E+00   -0.46700E+00
    56    0.14400E+04    0.18150E+00   -0.66535E+00
    57    0.14597E+04    0.19185E+00   -0.87004E+00
    58    0.14798E+04    0.20254E+00   -0.10846E+01
    59    0.15000E+04    0.21347E+00   -0.13126E+01
    60    0.15204E+04    0.22455E+00   -0.15561E+01
    61    0.15412E+04    0.23577E+00   -0.18165E+01
    62    0.15619E+04    0.24707E+00   -0.20949E+01
    63    0.15827E+04    0.25839E+00   -0.23918E+01
    64    0.16038E+04    0.26971E+00   -0.27078E+01
    65    0.16250E+04    0.28100E+00   -0.30431E+01
    66    0.16464E+04    0.29215E+00   -0.33954E+01
    67    0.16680E+04    0.30309E+00   -0.37612E+01
    68    0.16900E+04    0.31379E+00   -0.41381E+01
    69    0.17123E+04    0.32413E+00   -0.45237E+01
    70    0.17349E+04    0.33406E+00   -0.49189E+01
    71    0.17577E+04    0.34354E+00   -0.53256E+01
    72    0.17807E+04    0.35266E+00   -0.57456E+01
    73    0.18039E+04    0.36154E+00   -0.61801E+01
