Maps: isw_bin0 eucz7000_b20000_bin0 eucz7000_b20010_bin0 eucz7000_b20100_bin0 eucz7000_b20500_bin0 eucz7000_b21000_bin0 eucz7000_b22000_bin0 eucz7000_b25000_bin0 eucz7000_b210000_bin0
nbar: -1.000e+00 3.499e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08
Computed for pairs: isw-eucz7000_b20000 isw-eucz7000_b20010 isw-eucz7000_b20100 isw-eucz7000_b20500 isw-eucz7000_b21000 isw-eucz7000_b22000 isw-eucz7000_b25000 isw-eucz7000_b210000
runtag bztest (ilk:) (iswilk:fidisw), lmax=95, eps=1.0e-10,besselmincut=1, besselmaxcut=0
CAMBtag 'fid': Oc=0.259, Ob=0.0486, h0=0.677, w0=-1, ns=0.967, On=0 [OL=1-Om, Oc=Om-Ob-On. epsilon=1e-10]
k-data: kmin=1.000e-05, kmax=1.000e+01, kperlog=300, krcut(add,mult)=(50,20);
##############################
                         isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    isw_bin0                eucz7000_b20000_bin0    isw_bin0               
 lvals                   isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b210000_bin0  
                      +0 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
                      +1 +2.5555434751000329e-09 +2.2244563870488286e-07 +2.3399213500430291e-07 +3.5414577096470418e-07 +1.2420072437411499e-06 +3.1642709109931682e-06 +9.7168213919035631e-06 +5.1038923595741257e-05 +1.9212398594360049e-04 +1.9956169002220683e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0500953967377692e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5403916146615745e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.7194785869514963e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.4433532127693816e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2891102372839596e-07 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9234350029304034e-07 +0.0000000000000000e+00 +5.6473210011641361e-07
                      +2 +5.1969374724940138e-10 +3.1168355676430025e-07 +3.2789683092386212e-07 +4.9605604127663577e-07 +1.7280573914595920e-06 +4.3805737349946850e-06 +1.3393968455548429e-05 +7.0101232297020241e-05 +2.6350357552511563e-04 +1.1600458804798910e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1916414191220512e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4760012670127219e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7398085533571761e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.3195690716604239e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.4790951017546491e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6957673544513000e-07 +0.0000000000000000e+00 +3.2755200457813351e-07
                      +3 +1.8094908648062270e-10 +3.9508445672460792e-07 +4.1577614012103911e-07 +6.3018809245081383e-07 +2.1969924658887459e-06 +5.5648946206963376e-06 +1.6998600671640434e-05 +8.8883204042215005e-05 +3.3396910152851925e-04 +7.8963685441408457e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.1127379020625356e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0060062123760181e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8715357978991175e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9534264886742821e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.1172122935235443e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1608678134556508e-07 +0.0000000000000000e+00 +2.2427701929120509e-07
                      +4 +8.1243082782092643e-11 +4.7096906109934788e-07 +4.9583841840005144e-07 +7.5349532676669172e-07 +2.6361975800900828e-06 +6.6828491224646584e-06 +2.0420388472336568e-05 +1.0678684946653004e-04 +4.0124375976196219e-04 +5.8343059196364929e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.9955579755643983e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.4468264792489143e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3896896197563679e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1959680048065500e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.8085177496509684e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.6462004100340911e-08 +0.0000000000000000e+00 +1.6708982619514067e-07
                      +5 +4.2437423613110060e-11 +5.3918141002755893e-07 +5.6789944173022783e-07 +8.6552836560408843e-07 +3.0422832615774095e-06 +7.7238922509777533e-06 +2.3622604525405675e-05 +1.2360284813710335e-04 +4.6451682031786582e-04 +4.5320121144279458e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.6585957671133833e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.7972183264993718e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0855543379056860e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7179165655216322e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9824995707637508e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.7727753015456247e-08 +0.0000000000000000e+00 +1.3099855375924911e-07
                      +6 +2.4516494420263336e-11 +6.0014847801096312e-07 +6.3238138397513693e-07 +9.6666586078476928e-07 +3.4151590426374662e-06 +8.6862238708273474e-06 +2.6596408664759880e-05 +1.3927166479356007e-04 +5.2354603004718583e-04 +3.6431540490133185e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.7458157770578869e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.6692119722101841e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.7759176644722094e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3905590448228957e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4168617514655280e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.4957695906030725e-08 +0.0000000000000000e+00 +1.0627253845422902e-07
                      +7 +1.5233984115536337e-11 +6.5440433212508334e-07 +6.8984421950605766e-07 +1.0576276943021129e-06 +3.7561064225662993e-06 +9.5717569506577925e-06 +2.9344888765565462e-05 +1.5379901802892247e-04 +5.7833837226897635e-04 +3.0014779695761598e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0869171849451857e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.8551381874854727e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.2683902329015849e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1536120297513593e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0072389561651077e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5677506042182229e-08 +0.0000000000000000e+00 +8.8355943879765800e-08
                      +8 +9.9933353042070539e-12 +7.0252105237334965e-07 +7.4087127821808702e-07 +1.1391632000651935e-06 +4.0668485340701003e-06 +1.0383931111229641e-05 +3.1876401088289878e-05 +1.6722022325792044e-04 +6.2901456609710388e-04 +2.5196995777508886e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5920296450790183e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.2425107460925200e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.1356472663762053e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.7513153705116352e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6982290361379542e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.8676153729228731e-08 +0.0000000000000000e+00 +7.4833326744971867e-08
