Maps: isw_bin0 euc1bincatz0e+00_bin0 euc1bincatz1e-03_bin0 euc1bincatz5e-03_bin0 euc1bincatz1e-02_bin0 euc1bincatz2e-02_bin0 euc1bincatz5e-02_bin0 euc1bincatz1e-01_bin0 euc1bincatz2e-01_bin0
nbar: -1.000e+00 3.499e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08 3.499e+08
Computed for pairs: isw-euc1bincatz0e+00 isw-euc1bincatz1e-03 isw-euc1bincatz5e-03 isw-euc1bincatz1e-02 isw-euc1bincatz2e-02 isw-euc1bincatz5e-02 isw-euc1bincatz1e-01 isw-euc1bincatz2e-01
runtag catztest_1bins (ilk:) (iswilk:fidisw), lmax=95, eps=1.0e-10,besselmincut=1, besselmaxcut=0
CAMBtag 'fid': Oc=0.259, Ob=0.0486, h0=0.677, w0=-1, ns=0.967, On=0 [OL=1-Om, Oc=Om-Ob-On. epsilon=1e-10]
k-data: kmin=1.000e-05, kmax=1.000e+01, kperlog=300, krcut(add,mult)=(50,20);
##############################
                         isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   isw_bin0                euc1bincatz0e+00_bin0   isw_bin0               
 lvals                   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz2e-01_bin0  
                      +0 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
                      +1 +2.5555434751022568e-09 +2.2244563870488310e-07 +2.2284848711405593e-07 +2.2542002803260742e-07 +2.3073846190694882e-07 +2.4799052685327361e-07 +3.4612735917974086e-07 +6.2836324834429028e-07 +1.4530478048992477e-06 +1.9956169002226943e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9998160613049508e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0164886446916906e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0370543088825616e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0775357897683063e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1913245038855159e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3616794544092933e-08 +0.0000000000000000e+00 +2.6437770562443864e-08
                      +2 +5.1969374724942702e-10 +3.1168355676431529e-07 +3.1221600634318995e-07 +3.1520857468208682e-07 +3.2073969607134385e-07 +3.3747087540835587e-07 +4.2737105922207311e-07 +6.7867355222854246e-07 +1.4030517886896775e-06 +1.1600458804799679e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1618541228040653e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1690336683844348e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1778896591764013e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1952176787095903e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2443135309200973e-08 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3176667960125348e-08 +0.0000000000000000e+00 +1.4391354126011869e-08
                      +3 +1.8094908648061477e-10 +3.9508445672465006e-07 +3.9562497183679975e-07 +3.9850883475465235e-07 +4.0362668275247294e-07 +4.1864665947308099e-07 +4.9719226175052939e-07 +7.1362986589492340e-07 +1.3331338481615967e-06 +7.8963685441411997e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.9055506463477044e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.9420077790321561e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.9865422018062567e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.0747956831855479e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.3243235423586250e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.6967945504441612e-09 +0.0000000000000000e+00 +9.3135954743408011e-09
                      +4 +8.1243082782091260e-11 +4.7096906109935974e-07 +4.7145734956527753e-07 +4.7400705797104123e-07 +4.7850322338083818e-07 +4.9156535537637717e-07 +5.5927125917396979e-07 +7.4491386262337490e-07 +1.2749442234700140e-06 +5.8343059196364962e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.8394070869171163e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.8596610412000659e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.8846443548934088e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.9328901617584599e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.0720834120346539e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.2790434269107174e-09 +0.0000000000000000e+00 +6.6217576567529240e-09
                      +5 +4.2437423613110939e-11 +5.3918141002759312e-07 +5.3959257150719765e-07 +5.4174463458261452e-07 +5.4556036229798843e-07 +5.5670217934563028e-07 +6.1474945834643008e-07 +7.7439896528509435e-07 +1.2309037280509930e-06 +4.5320121144281162e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5350662296790139e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5469147630833530e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5615299637833127e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5900851502365281e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.6656533146499664e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.7918046052752663e-09 +0.0000000000000000e+00 +4.9916234691052550e-09
                      +6 +2.4516494420263581e-11 +6.0014847801100970e-07 +6.0046666678813886e-07 +6.0218118501385023e-07 +6.0530101179873641e-07 +6.1462600431423366e-07 +6.6419532924647455e-07 +8.0197365089161762e-07 +1.1980488469894501e-06 +3.6431540490134906e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6449716263482880e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6521882358315805e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6610899445928339e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6775724687203088e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.7255826492960526e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.8033540796976805e-09 +0.0000000000000000e+00 +3.9161663088545691e-09
                      +7 +1.5233984115536524e-11 +6.5440433212512622e-07 +6.5462034355303591e-07 +6.5588097720077727e-07 +6.5832029659815291e-07 +6.6594330732956286e-07 +7.0801808774967160e-07 +8.2722217257780581e-07 +1.1730833678044578e-06 +3.0014779695762620e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0025022861760747e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0065692889187801e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0116359708082950e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0214468043759318e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0492651870617796e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0908408924284171e-09 +0.0000000000000000e+00 +3.1624954610740562e-09
                      +8 +9.9933353042072737e-12 +7.0252105237337834e-07 +7.0263118592416366e-07 +7.0343568494778039e-07 +7.0521995936428443e-07 +7.1125503399642797e-07 +7.4663561218799852e-07 +8.4983552982123489e-07 +1.1533793000003156e-06 +2.5196995777509642e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5202991122507031e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5226952610331320e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5256314535140177e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5312765973889268e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5471042066648218e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5710497132533070e-09 +0.0000000000000000e+00 +2.6105866607002446e-09
